"Source:","/home/heller/RRCircuits/ESP32-C3-Booster/ESP32-C3-Booster.sch"
"Date:","Sat 05 Nov 2022 03:21:31 PM EDT"
"Tool:","Eeschema 4.0.7+dfsg1-1ubuntu2"
"Generator:","/home/heller/RRCircuits/bom_csv_grouped_by_partnum.py"
"Component Count:","98"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Mouser2 Part Number","Mouser2 Price/Stock"
"","","C101","10 nf","device:C_Small","Capacitors_SMD:C_1206","","","","","","791-1206B103K500CT","","",""
"","","C201","22pf","device:C_Small","Capacitors_SMD:C_0402","","","","","","187-CL05C220JB5NNND","","",""
"","","C202","22pf","device:C_Small","Capacitors_SMD:C_0402","","","","","","187-CL05C220JB5NNND","","",""
"","","C203","10uf","device:C_Small","Capacitors_SMD:C_0805","","","","","","187-CL21A106MQFNNNE","","",""
"","","C204","100nf","device:C_Small","Capacitors_SMD:C_0402","","","","","","710-885012105001","","",""
"","","C205","10uf","device:C_Small","Capacitors_SMD:C_0805","","","","","","187-CL21A106MQFNNNE","","",""
"","","C206","1uf","device:C_Small","Capacitors_SMD:C_0402","","","","","","80-C0402C101K8RAUTO","","",""
"","","C207","1uf","device:C_Small","Capacitors_SMD:C_0402","","","","","","80-C0402C101K8RAUTO","","",""
"","","C208","100nf","device:C_Small","Capacitors_SMD:C_0402","","","","","","710-885012105001","","",""
"","","C209","100pf","device:C_Small","Capacitors_SMD:C_0402","","","","","","80-C0402C101K3RAUTO","","",""
"","","C210","1uf","device:C_Small","Capacitors_SMD:C_0402","","","","","","80-C0402C101K8RAUTO","","",""
"","","C211","100nf","device:C_Small","Capacitors_SMD:C_0402","","","","","","710-885012105001","","",""
"","","C212","22pf","device:C_Small","Capacitors_SMD:C_0402","","","","","","187-CL05C220JB5NNND","","",""
"","","C213","22pf","device:C_Small","Capacitors_SMD:C_0402","","","","","","187-CL05C220JB5NNND","","",""
"","","C214","1uf","device:C_Small","Capacitors_SMD:C_0402","","","","","","80-C0402C101K8RAUTO","","",""
"","","C301","100 nf","device:C","Capacitors_SMD:C_0603","","","","","","603-CC603KPX7R9BB104","","",""
"","","C302","47 nf","device:C","Capacitors_SMD:C_0603","","","","","","963-GMK107BJ473KAHT","","",""
"","","C303","15 uf 15V","device:CP1","Capacitors_SMD:CP_Elec_4x5.8","","","","","","647-UUD1C150MCL","","",""
"","","C401","220 uf 25V","device:CP1","Capacitors_SMD:CP_Elec_8x10","","","","","","647-UUX2A220MNL6GS","","",""
"","","C403","22 uf 100V","device:CP1","Capacitors_SMD:CP_Elec_8x10","","","","","","647-UWT1E221MNL1GS","","",""
"","","C405","10 nf","device:C_Small","Capacitors_SMD:C_1206","","","","","","791-1206B103K500CT","","",""
"","","C406","10 uf","device:CP1_Small","Capacitors_SMD:CP_Elec_5x5.3","","","","","","710-865230542002","","",""
"","","C501","1 uf","device:C","Capacitors_SMD:C_0603","","","","","","963-GMK107AB7105KAHT","","",""
"","","C502","47 nf","device:C_Small","Capacitors_SMD:C_0603","","","","","","963-GMK107BJ473KAHT","","",""
"","","C503","1 uf","device:C_Small","Capacitors_SMD:C_0603","","","","","","963-GMK107AB7105KAHT","","",""
"","","C504","100 nf","device:C","Capacitors_SMD:C_0603","","","","","","603-CC603KPX7R9BB104","","",""
"","","C505","100 nf","device:C","Capacitors_SMD:C_0603","","","","","","603-CC603KPX7R9BB104","","",""
"","","C506","47 uf","device:CP1","Capacitors_SMD:CP_Elec_6.3x5.3","","","","","","710-865080543009","","",""
"","","C601","100 uf","device:CP1_Small","Capacitors_SMD:C_0603","","","","","","603-CC603KPX7R9BB104","","",""
"","","D101","RB080LAM-30TR","device:D_Schottky","RB080LAM-30TR:PMDTM","","","","","","755-RB080LAM-30TR","","",""
"","","D102","OPS ActB","device:LED","LEDs:LED_0603","","","","","","710-150060RS75000","","",""
"","","D103","OPS ActA","device:LED","LEDs:LED_0603","","","","","","710-150060GS75000","","",""
"","","D201","ACT1","device:LED","LEDs:LED_0402","","","","","","710-150040GS73220","","",""
"","","D202","ACT2","device:LED","LEDs:LED_0402","","","","","","710-150040SS73220","","",""
"","","D301","Tx","device:LED","LEDs:LED_0603","","","","","","710-150060SS75000","","",""
"","","D302","Rx","device:LED","LEDs:LED_0603","","","","","","710-150060YS75000","","",""
"","","D303","DFLS240","device:D_Schottky","Diodes_SMD:D_PowerDI-123","","","","","","621-DFLS240-7","","",""
"","","D304","DFLS240","device:D_Schottky","Diodes_SMD:D_PowerDI-123","","","","","","621-DFLS240-7","","",""
"","","D401","CMSH1-60","device:D_Schottky","Diodes_SMD:D_SMA","","","","","","610-CMSH1-60TR13","","",""
"","","D402","DFLS240","device:D_Schottky","Diodes_SMD:D_PowerDI-123","","","","","","621-DFLS240-7","","",""
"","","D403","DFLS240","device:D_Schottky","Diodes_SMD:D_PowerDI-123","","","","","","621-DFLS240-7","","",""
"","","D501","1.5v 10ma","device:D_Zener_Small","Diodes_SMD:D_SOD-323","","","","","","610-CMDZ1L8TR","","",""
"","","D601","1SS352H3F","device:D","Diodes_SMD:D_SOD-323","","","","","","757-1SS352H3F","","",""
"","","F101","5A","device:Fuse_Small","MF-R500:MFR500","","","","","","652-MFR500","","",""
"","","F102","5A","device:Fuse_Small","MF-R500:MFR500","","","","","","652-MFR500","","",""
"","","IC201","ESP32-C3FN4","ESP32-C3FN4:ESP32-C3FN4","Housings_DFN_QFN:QFN-32-1EP_5x5mm_Pitch0.5mm","https://www.mouser.co.uk/datasheet/2/891/esp32_c3_datasheet_en-1989865.pdf","RF System on a Chip - SoC SMD IC ESP32-C3FN4, single-core MCU, 2.4G Wi-Fi & BLE 5.0 combo, QFN 32-pin, 5*5 mm, 4 MB flash inside, -40C +85C","0.9","Espressif Systems","ESP32-C3FN4","356-ESP32-C3FN4","","",""
"","","IC202","USBLC6-2SC6","USBLC6-2SC6:USBLC6-2SC6","TO_SOT_Packages_SMD:SOT-23-6","https://componentsearchengine.com//USBLC6-2SC6.pdf","TVS Diode Array Uni-Directional USBLC6-2SC6 17V, SOT-23 6-Pin","1.45","STMicroelectronics","USBLC6-2SC6","511-USBLC6-2SC6","","511-USBLC6-2SC6","https://www.mouser.com/Search/Refine.aspx?Keyword=511-USBLC6-2SC6"
"","","J101","- Power + In -","conn:Screw_Terminal_01x03","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_PT-3.5mm_3pol","","","","","","651-544225","","",""
"","","J102","Output to tracks","conn:Screw_Terminal_01x02","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_PT-3.5mm_2pol","","","","","","651-5442248","","",""
"","","J201","USB_OTG","conn:USB_OTG","Connectors_USB:USB_Micro-B_Molex_47346-0001","","","","","","538-47346-0001","","",""
"","","J301","Termination","conn:Conn_02x02_Odd_Even","Pin_Headers:Pin_Header_Straight_2x02_Pitch2.54mm","","","","","","538-90131-0122 ","","",""
"","","J302","RJ45","conn:RJ45","RJ45-8N-S:RJ45_8N-S","","","","","","710-615008144221","","",""
"","","J303","RJ45","conn:RJ45","RJ45-8N-S:RJ45_8N-S","","","","","","710-615008144221","","",""
"","","J601","- Fan +","conn:Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","","","","","","538-42375-1855","","",""
"","","L201","2.0nH","device:L_Small","Inductors_SMD:L_0402","","","","","","810-MLG1005S2N0ST000","","",""
"","","L401","330 mh","device:L","SRN1060:SRN1060","","","","","","652-SRN1060-331M","","",""
"","","M601","Fan_IEC60617","motors:Fan_IEC60617","FAN:25mmFanMount","","","","","","490-CFM2510B1100-218","","",""
"","","Q601","BSP52T3G","device:Q_NPN_Darlington_BCEC","TO_SOT_Packages_SMD:SOT-223","","","","","","863-BSP52T3G","","",""
"","","R101","3K","device:R","Resistors_SMD:R_0603","","","","","","660-RN73H1JT3001F100","","",""
"","","R102","2.4","device:R","Resistors_SMD:R_1206","","","","","","71-CRCW12062R40FKEA","","",""
"","","R103","3K","device:R","Resistors_SMD:R_0603","","","","","","660-RN73H1JT3001F100","","",""
"","","R201","10K","device:R","Resistors_SMD:R_0402","","","","","","603-RC0402JR-1310KL","","",""
"","","R202","10K","device:R","Resistors_SMD:R_0402","","","","","","603-RC0402JR-1310KL","","",""
"","","R203","10K","device:R","Resistors_SMD:R_0402","","","","","","603-RC0402JR-1310KL","","",""
"","","R204","0","device:R","Resistors_SMD:R_0402","","","","","","71-CRCW04020000Z0EDC","","",""
"","","R205","270","device:R","Resistors_SMD:R_0402","","","","","","754-RR0510P-271D","","",""
"","","R206","270","device:R","Resistors_SMD:R_0402","","","","","","754-RR0510P-271D","","",""
"","","R301","160","device:R","Resistors_SMD:R_0603","","","","","","603-AC0603JR-07160RL","","",""
"","","R302","160","device:R","Resistors_SMD:R_0603","","","","","","603-AC0603JR-07160RL","","",""
"","","R303","60","device:R","Resistors_SMD:R_1206","","","","","","71-CRCW120660R0KNAIF","","",""
"","","R304","60","device:R","Resistors_SMD:R_1206","","","","","","71-CRCW120660R0KNAIF ","","",""
"","","R501","10K","device:R","Resistors_SMD:R_0603","","","","","","279-CRGCQ0603F10K ","","",""
"","","R502","10K","device:R","Resistors_SMD:R_0603","","","","","","279-CRGCQ0603F10K","","",""
"","","R503","10K","device:R","Resistors_SMD:R_0603","","","","","","279-CRGCQ0603F10K","","",""
"","","R504","0.005 1%","device:R","Resistors_SMD:R_0612","","","","","","71-WSKW0612L5000FEA","","",""
"","","R505","2.2K","device:R","Resistors_SMD:R_0603","","","","","","603-AC0603FR-072K2L","","",""
"","","R506","10K","device:R","Resistors_SMD:R_0603","","","","","","279-CRGCQ0603F10K ","","",""
"","","R507","10K","device:R","Resistors_SMD:R_0603","","","","","","279-CRGCQ0603F10K ","","",""
"","","R601","1K","device:R","Resistors_SMD:R_0603","","","","","","279-CRGCQ0603F1K0","","",""
"","","SW201","RESET","switches:SW_Push","PTS647SN70SMTR2LFS:PTS647SM38SMTR2LFS","","","","","","611-PTS647SN70SMTR2L","","",""
"","","SW202","BOOT","switches:SW_Push","PTS647SN70SMTR2LFS:PTS647SM38SMTR2LFS","","","","","","611-PTS647SN70SMTR2L","","",""
"","","T301","LCC Power Out","conn:Screw_Terminal_01x02","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","","","","","651-1725656","","",""
"","","T302","LCC Power In","conn:Screw_Terminal_01x02","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","","","","","651-1725656","","",""
"","","U101","INA180B","ina180b:INA180B","TO_SOT_Packages_SMD:SOT-23-5","","","","","","595-INA180B3IDBVR","","",""
"","","U301","LM358","linear:LM358","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","","","","","595-LM358BIDR","","",""
"","","U302","TCAN332DR","sn65hvd233-ht:TCAN332DR","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","","","","","595-TCAN332DR","","",""
"","","U401","LM2574HVM-3.3","lm2574n-5:LM2574HVM-5.0","SOIC_Wide:SOIC-14_7.4x8.7mm_Pitch1.27mm","","","","","","926-LM2574MX33NOPB","","",""
"","","U402","LF120_TO220","regul:LF120_TO220","TO_SOT_Packages_SMD:TO-252-2","","","","","","511-LF120ABDT-TR","","",""
"","","U501","DRV8873HPWPR","DRV8873HPWPR:DRV8873HPWPR","SOP65P640X120:SOP65P640X120-25N","http://www.ti.com/lit/ds/symlink/drv8873.pdf","Motor / Motion / Ignition Controllers & Drivers 10A H-Bridge Motor Driver with Integrated Current Sensing and Current Sense Output","1.2","Texas Instruments","DRV8873HPWPR","595-DRV8873HPWPR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/DRV8873HPWPR?qs=0lSvoLzn4L9%252BP4S8Gvwd%252BQ%3D%3D","",""
"","","U502","VO615A","opto:VO615A","Housings_SOIC:SO-4_7.6x3.6mm_Pitch2.54mm","","","","","","78-VO615A-7X017T","","",""
"","","U601","MCP9700T-E_LT","MCP9700T-E_LT:MCP9700T-E_LT","SOT65P210X110-5N:SOT65P210X110-5N","","Temperature sensor, -40 to +125 degC Microchip MCP9700T-E/LT Temperature Sensor 5-Pin SC-70, -40 ??? +125 degC","1.1","Microchip","MCP9700T-E/LT","579-MCP9700T-E/LT","https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP9700T-E-LT?qs=RnzODY3cU8tW7jSxAPzBuw%3D%3D","",""
"","","Y201","40 Mhz +/- 10 ppm","device:Crystal_GND24","FA_20H:FA20_H","","","","","","732-FA-20H40MF10Z-W3","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Mouser2 Part Number","Mouser2 Price/Stock"
"1","2","C101, C405","10 nf","device:C_Small","Capacitors_SMD:C_1206","","","","","","791-1206B103K500CT","","",""
"2","4","C201, C202, C212, C213","22pf","device:C_Small","Capacitors_SMD:C_0402","","","","","","187-CL05C220JB5NNND","","",""
"3","2","C203, C205","10uf","device:C_Small","Capacitors_SMD:C_0805","","","","","","187-CL21A106MQFNNNE","","",""
"4","3","C204, C208, C211","100nf","device:C_Small","Capacitors_SMD:C_0402","","","","","","710-885012105001","","",""
"5","4","C206, C207, C210, C214","1uf","device:C_Small","Capacitors_SMD:C_0402","","","","","","80-C0402C101K8RAUTO","","",""
"6","1","C209","100pf","device:C_Small","Capacitors_SMD:C_0402","","","","","","80-C0402C101K3RAUTO","","",""
"7","4","C301, C504, C505, C601","100 uf","device:CP1_Small","Capacitors_SMD:C_0603","","","","","","603-CC603KPX7R9BB104","","",""
"8","2","C302, C502","47 nf","device:C_Small","Capacitors_SMD:C_0603","","","","","","963-GMK107BJ473KAHT","","",""
"9","1","C303","15 uf 15V","device:CP1","Capacitors_SMD:CP_Elec_4x5.8","","","","","","647-UUD1C150MCL","","",""
"10","1","C401","220 uf 25V","device:CP1","Capacitors_SMD:CP_Elec_8x10","","","","","","647-UUX2A220MNL6GS","","",""
"11","1","C403","22 uf 100V","device:CP1","Capacitors_SMD:CP_Elec_8x10","","","","","","647-UWT1E221MNL1GS","","",""
"12","1","C406","10 uf","device:CP1_Small","Capacitors_SMD:CP_Elec_5x5.3","","","","","","710-865230542002","","",""
"13","2","C501, C503","1 uf","device:C_Small","Capacitors_SMD:C_0603","","","","","","963-GMK107AB7105KAHT","","",""
"14","1","C506","47 uf","device:CP1","Capacitors_SMD:CP_Elec_6.3x5.3","","","","","","710-865080543009","","",""
"15","1","D101","RB080LAM-30TR","device:D_Schottky","RB080LAM-30TR:PMDTM","","","","","","755-RB080LAM-30TR","","",""
"16","1","D102","OPS ActB","device:LED","LEDs:LED_0603","","","","","","710-150060RS75000","","",""
"17","1","D103","OPS ActA","device:LED","LEDs:LED_0603","","","","","","710-150060GS75000","","",""
"18","1","D201","ACT1","device:LED","LEDs:LED_0402","","","","","","710-150040GS73220","","",""
"19","1","D202","ACT2","device:LED","LEDs:LED_0402","","","","","","710-150040SS73220","","",""
"20","1","D301","Tx","device:LED","LEDs:LED_0603","","","","","","710-150060SS75000","","",""
"21","1","D302","Rx","device:LED","LEDs:LED_0603","","","","","","710-150060YS75000","","",""
"22","4","D303, D304, D402, D403","DFLS240","device:D_Schottky","Diodes_SMD:D_PowerDI-123","","","","","","621-DFLS240-7","","",""
"23","1","D401","CMSH1-60","device:D_Schottky","Diodes_SMD:D_SMA","","","","","","610-CMSH1-60TR13","","",""
"24","1","D501","1.5v 10ma","device:D_Zener_Small","Diodes_SMD:D_SOD-323","","","","","","610-CMDZ1L8TR","","",""
"25","1","D601","1SS352H3F","device:D","Diodes_SMD:D_SOD-323","","","","","","757-1SS352H3F","","",""
"26","2","F101, F102","5A","device:Fuse_Small","MF-R500:MFR500","","","","","","652-MFR500","","",""
"27","1","IC201","ESP32-C3FN4","ESP32-C3FN4:ESP32-C3FN4","Housings_DFN_QFN:QFN-32-1EP_5x5mm_Pitch0.5mm","https://www.mouser.co.uk/datasheet/2/891/esp32_c3_datasheet_en-1989865.pdf","RF System on a Chip - SoC SMD IC ESP32-C3FN4, single-core MCU, 2.4G Wi-Fi & BLE 5.0 combo, QFN 32-pin, 5*5 mm, 4 MB flash inside, -40C +85C","0.9","Espressif Systems","ESP32-C3FN4","356-ESP32-C3FN4","","",""
"28","1","IC202","USBLC6-2SC6","USBLC6-2SC6:USBLC6-2SC6","TO_SOT_Packages_SMD:SOT-23-6","https://componentsearchengine.com//USBLC6-2SC6.pdf","TVS Diode Array Uni-Directional USBLC6-2SC6 17V, SOT-23 6-Pin","1.45","STMicroelectronics","USBLC6-2SC6","511-USBLC6-2SC6","","511-USBLC6-2SC6","https://www.mouser.com/Search/Refine.aspx?Keyword=511-USBLC6-2SC6"
"29","1","J101","- Power + In -","conn:Screw_Terminal_01x03","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_PT-3.5mm_3pol","","","","","","651-544225","","",""
"30","1","J102","Output to tracks","conn:Screw_Terminal_01x02","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_PT-3.5mm_2pol","","","","","","651-5442248","","",""
"31","1","J201","USB_OTG","conn:USB_OTG","Connectors_USB:USB_Micro-B_Molex_47346-0001","","","","","","538-47346-0001","","",""
"32","1","J301","Termination","conn:Conn_02x02_Odd_Even","Pin_Headers:Pin_Header_Straight_2x02_Pitch2.54mm","","","","","","538-90131-0122 ","","",""
"33","2","J302, J303","RJ45","conn:RJ45","RJ45-8N-S:RJ45_8N-S","","","","","","710-615008144221","","",""
"34","1","J601","- Fan +","conn:Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","","","","","","538-42375-1855","","",""
"35","1","L201","2.0nH","device:L_Small","Inductors_SMD:L_0402","","","","","","810-MLG1005S2N0ST000","","",""
"36","1","L401","330 mh","device:L","SRN1060:SRN1060","","","","","","652-SRN1060-331M","","",""
"37","1","M601","Fan_IEC60617","motors:Fan_IEC60617","FAN:25mmFanMount","","","","","","490-CFM2510B1100-218","","",""
"38","1","Q601","BSP52T3G","device:Q_NPN_Darlington_BCEC","TO_SOT_Packages_SMD:SOT-223","","","","","","863-BSP52T3G","","",""
"39","2","R101, R103","3K","device:R","Resistors_SMD:R_0603","","","","","","660-RN73H1JT3001F100","","",""
"40","1","R102","2.4","device:R","Resistors_SMD:R_1206","","","","","","71-CRCW12062R40FKEA","","",""
"41","3","R201, R202, R203","10K","device:R","Resistors_SMD:R_0402","","","","","","603-RC0402JR-1310KL","","",""
"42","1","R204","0","device:R","Resistors_SMD:R_0402","","","","","","71-CRCW04020000Z0EDC","","",""
"43","2","R205, R206","270","device:R","Resistors_SMD:R_0402","","","","","","754-RR0510P-271D","","",""
"44","2","R301, R302","160","device:R","Resistors_SMD:R_0603","","","","","","603-AC0603JR-07160RL","","",""
"45","1","R303","60","device:R","Resistors_SMD:R_1206","","","","","","71-CRCW120660R0KNAIF","","",""
"46","1","R304","60","device:R","Resistors_SMD:R_1206","","","","","","71-CRCW120660R0KNAIF ","","",""
"47","3","R501, R506, R507","10K","device:R","Resistors_SMD:R_0603","","","","","","279-CRGCQ0603F10K ","","",""
"48","2","R502, R503","10K","device:R","Resistors_SMD:R_0603","","","","","","279-CRGCQ0603F10K","","",""
"49","1","R504","0.005 1%","device:R","Resistors_SMD:R_0612","","","","","","71-WSKW0612L5000FEA","","",""
"50","1","R505","2.2K","device:R","Resistors_SMD:R_0603","","","","","","603-AC0603FR-072K2L","","",""
"51","1","R601","1K","device:R","Resistors_SMD:R_0603","","","","","","279-CRGCQ0603F1K0","","",""
"52","2","SW201, SW202","BOOT","switches:SW_Push","PTS647SN70SMTR2LFS:PTS647SM38SMTR2LFS","","","","","","611-PTS647SN70SMTR2L","","",""
"53","2","T301, T302","LCC Power In","conn:Screw_Terminal_01x02","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","","","","","651-1725656","","",""
"54","1","U101","INA180B","ina180b:INA180B","TO_SOT_Packages_SMD:SOT-23-5","","","","","","595-INA180B3IDBVR","","",""
"55","1","U301","LM358","linear:LM358","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","","","","","595-LM358BIDR","","",""
"56","1","U302","TCAN332DR","sn65hvd233-ht:TCAN332DR","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","","","","","595-TCAN332DR","","",""
"57","1","U401","LM2574HVM-3.3","lm2574n-5:LM2574HVM-5.0","SOIC_Wide:SOIC-14_7.4x8.7mm_Pitch1.27mm","","","","","","926-LM2574MX33NOPB","","",""
"58","1","U402","LF120_TO220","regul:LF120_TO220","TO_SOT_Packages_SMD:TO-252-2","","","","","","511-LF120ABDT-TR","","",""
"59","1","U501","DRV8873HPWPR","DRV8873HPWPR:DRV8873HPWPR","SOP65P640X120:SOP65P640X120-25N","http://www.ti.com/lit/ds/symlink/drv8873.pdf","Motor / Motion / Ignition Controllers & Drivers 10A H-Bridge Motor Driver with Integrated Current Sensing and Current Sense Output","1.2","Texas Instruments","DRV8873HPWPR","595-DRV8873HPWPR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/DRV8873HPWPR?qs=0lSvoLzn4L9%252BP4S8Gvwd%252BQ%3D%3D","",""
"60","1","U502","VO615A","opto:VO615A","Housings_SOIC:SO-4_7.6x3.6mm_Pitch2.54mm","","","","","","78-VO615A-7X017T","","",""
"61","1","U601","MCP9700T-E_LT","MCP9700T-E_LT:MCP9700T-E_LT","SOT65P210X110-5N:SOT65P210X110-5N","","Temperature sensor, -40 to +125 degC Microchip MCP9700T-E/LT Temperature Sensor 5-Pin SC-70, -40 ??? +125 degC","1.1","Microchip","MCP9700T-E/LT","579-MCP9700T-E/LT","https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP9700T-E-LT?qs=RnzODY3cU8tW7jSxAPzBuw%3D%3D","",""
"62","1","Y201","40 Mhz +/- 10 ppm","device:Crystal_GND24","FA_20H:FA20_H","","","","","","732-FA-20H40MF10Z-W3","","",""
